form_id,skill_slot,skill_id,skill_name_kr,skill_role,category,axis_primary,axis_secondary,delta_pattern,base_power,pp,affected_axis_count,purity_level,mechanic_link,mechanic_params,route_function,upgrade_rule,temperature_delta,brightness_delta,smell_delta,humidity_delta,sound_delta,design_note
howl_wolf_d2_4,2,howl_wolf_d2_4__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_4,3,howl_wolf_d2_4__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
howl_wolf_d2_5,1,howl_wolf_d2_5__s1,울림 절삭,capture_core,stimulate,sound,,lower,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,0,0,-5,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
howl_wolf_d2_5,2,howl_wolf_d2_5__s2,빛 유도,route_bridge,hybrid,brightness,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,-2,0,0,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
howl_wolf_d2_5,3,howl_wolf_d2_5__s3,울음 누적 운용,mechanic_core,hybrid,sound,,check,3,2,1,3,sonic_buildup,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,0,0,-3,핵심축만 남긴 정제형 / 울음 누적 메커닉 반영
ember_salamander,1,ember_salamander__s1,온기 정제,capture_core,stimulate,temperature,humidity|brightness|smell,raise,3,5,4,1,,,current_capture,main axis focus strengthens as the form devolves,3,1,-1,-2,0,거친 다축형 / 현재 포획 핵심축 대응
ember_salamander,2,ember_salamander__s2,습기 유도,route_bridge,hybrid,humidity,sound|brightness,convert,1,4,3,1,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,1,0,-1,-1,거친 다축형 / 다음 루트 연결축 준비
ember_salamander,3,ember_salamander__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,humidity,check,3,3,2,1,lava_shell,"[1, 3]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",2,0,0,-1,0,거친 다축형 / 용암 갑피 메커닉 반영
ember_salamander_d1_0,1,ember_salamander_d1_0__s1,온기 정제,capture_core,stimulate,temperature,humidity|brightness,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,5,2,0,-3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
ember_salamander_d1_0,2,ember_salamander_d1_0__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-1,-2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
ember_salamander_d1_0,3,ember_salamander_d1_0__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,humidity,check,3,3,2,2,lava_shell,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,-2,0,불필요한 축 일부 제거 / 용암 갑피 메커닉 반영
ember_salamander_d1_1,1,ember_salamander_d1_1__s1,온기 정제,capture_core,stimulate,temperature,humidity|brightness,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,5,2,0,-3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
ember_salamander_d1_1,2,ember_salamander_d1_1__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-1,-2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
ember_salamander_d1_1,3,ember_salamander_d1_1__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,humidity,check,3,3,2,2,lava_shell,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,-2,0,불필요한 축 일부 제거 / 용암 갑피 메커닉 반영
ember_salamander_d1_2,1,ember_salamander_d1_2__s1,온기 정제,capture_core,stimulate,temperature,humidity|brightness,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,5,2,0,-3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
ember_salamander_d1_2,2,ember_salamander_d1_2__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-1,-2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
ember_salamander_d1_2,3,ember_salamander_d1_2__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,humidity,check,3,3,2,2,lava_shell,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,-2,0,불필요한 축 일부 제거 / 용암 갑피 메커닉 반영
ember_salamander_d1_3,1,ember_salamander_d1_3__s1,온기 정제,capture_core,stimulate,temperature,humidity|brightness,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,5,2,0,-3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
ember_salamander_d1_3,2,ember_salamander_d1_3__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-1,-2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
ember_salamander_d1_3,3,ember_salamander_d1_3__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,humidity,check,3,3,2,2,lava_shell,"[1, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,-2,0,불필요한 축 일부 제거 / 용암 갑피 메커닉 반영
ember_salamander_d2_0,1,ember_salamander_d2_0__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_0,2,ember_salamander_d2_0__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_0,3,ember_salamander_d2_0__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_1,1,ember_salamander_d2_1__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_1,2,ember_salamander_d2_1__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_1,3,ember_salamander_d2_1__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_2,1,ember_salamander_d2_2__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_2,2,ember_salamander_d2_2__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_2,3,ember_salamander_d2_2__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_3,1,ember_salamander_d2_3__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_3,2,ember_salamander_d2_3__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_3,3,ember_salamander_d2_3__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_4,1,ember_salamander_d2_4__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_4,2,ember_salamander_d2_4__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_4,3,ember_salamander_d2_4__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_5,1,ember_salamander_d2_5__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_5,2,ember_salamander_d2_5__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_5,3,ember_salamander_d2_5__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_6,1,ember_salamander_d2_6__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_6,2,ember_salamander_d2_6__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_6,3,ember_salamander_d2_6__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
ember_salamander_d2_7,1,ember_salamander_d2_7__s1,온기 정제,capture_core,stimulate,temperature,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,5,0,0,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
ember_salamander_d2_7,2,ember_salamander_d2_7__s2,습기 유도,route_bridge,hybrid,humidity,,lower,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,-2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
ember_salamander_d2_7,3,ember_salamander_d2_7__s3,용암 갑피 운용,mechanic_core,hybrid,temperature,,check,3,2,1,3,lava_shell,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",3,0,0,0,0,핵심축만 남긴 정제형 / 용암 갑피 메커닉 반영
rot_toad,1,rot_toad__s1,향 정제,capture_core,stimulate,smell,humidity|temperature|brightness,raise,3,5,4,1,,,current_capture,main axis focus strengthens as the form devolves,1,-1,3,2,0,거친 다축형 / 현재 포획 핵심축 대응
rot_toad,2,rot_toad__s2,습기 유도,route_bridge,hybrid,humidity,sound|brightness,convert,1,4,3,1,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,1,0,1,1,거친 다축형 / 다음 루트 연결축 준비
rot_toad,3,rot_toad__s3,체크포인트 운용,mechanic_core,hybrid,smell,humidity,check,3,3,2,1,checkpoint_turn,"[3, 1]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,2,1,0,거친 다축형 / 체크포인트 메커닉 반영
rot_toad_d1_0,1,rot_toad_d1_0__s1,향 정제,capture_core,stimulate,smell,humidity|temperature,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,2,0,5,3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
rot_toad_d1_0,2,rot_toad_d1_0__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
rot_toad_d1_0,3,rot_toad_d1_0__s3,체크포인트 운용,mechanic_core,hybrid,smell,humidity,check,3,3,2,2,checkpoint_turn,"[2, 1]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,2,0,불필요한 축 일부 제거 / 체크포인트 메커닉 반영
rot_toad_d1_1,1,rot_toad_d1_1__s1,향 정제,capture_core,stimulate,smell,humidity|temperature,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,2,0,5,3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
rot_toad_d1_1,2,rot_toad_d1_1__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
rot_toad_d1_1,3,rot_toad_d1_1__s3,체크포인트 운용,mechanic_core,hybrid,smell,humidity,check,3,3,2,2,checkpoint_turn,"[2, 1]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,2,0,불필요한 축 일부 제거 / 체크포인트 메커닉 반영
rot_toad_d1_2,1,rot_toad_d1_2__s1,향 정제,capture_core,stimulate,smell,humidity|temperature,raise,5,4,3,2,,,current_capture,main axis focus strengthens as the form devolves,2,0,5,3,0,불필요한 축 일부 제거 / 현재 포획 핵심축 대응
rot_toad_d1_2,2,rot_toad_d1_2__s2,습기 유도,route_bridge,hybrid,humidity,sound,convert,2,4,2,2,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,2,불필요한 축 일부 제거 / 다음 루트 연결축 준비
rot_toad_d1_2,3,rot_toad_d1_2__s3,체크포인트 운용,mechanic_core,hybrid,smell,humidity,check,3,3,2,2,checkpoint_turn,"[2, 1]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,2,0,불필요한 축 일부 제거 / 체크포인트 메커닉 반영
rot_toad_d2_0,1,rot_toad_d2_0__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_0,2,rot_toad_d2_0__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_0,3,rot_toad_d2_0__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
rot_toad_d2_1,1,rot_toad_d2_1__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_1,2,rot_toad_d2_1__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_1,3,rot_toad_d2_1__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
rot_toad_d2_2,1,rot_toad_d2_2__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_2,2,rot_toad_d2_2__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_2,3,rot_toad_d2_2__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
rot_toad_d2_3,1,rot_toad_d2_3__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_3,2,rot_toad_d2_3__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_3,3,rot_toad_d2_3__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
rot_toad_d2_4,1,rot_toad_d2_4__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_4,2,rot_toad_d2_4__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_4,3,rot_toad_d2_4__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
rot_toad_d2_5,1,rot_toad_d2_5__s1,향 정제,capture_core,stimulate,smell,,raise,5,4,1,3,,,current_capture,main axis focus strengthens as the form devolves,0,0,5,0,0,핵심축만 남긴 정제형 / 현재 포획 핵심축 대응
rot_toad_d2_5,2,rot_toad_d2_5__s2,습기 유도,route_bridge,hybrid,humidity,,raise,2,3,1,3,,,next_unlock,bridge axis remains but side noise is pruned each stage,0,0,0,2,0,핵심축만 남긴 정제형 / 다음 루트 연결축 준비
rot_toad_d2_5,3,rot_toad_d2_5__s3,체크포인트 운용,mechanic_core,hybrid,smell,,check,3,2,1,3,checkpoint_turn,"[2, 2]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,0,3,0,0,핵심축만 남긴 정제형 / 체크포인트 메커닉 반영
stalker_mantis,1,stalker_mantis__s1,울림 절삭,capture_core,stimulate,sound,brightness|temperature|smell,raise,3,5,2,1,,,current_capture,main axis focus strengthens as the form devolves,0,1,0,0,-3,거친 다축형 / 현재 포획 핵심축 대응
stalker_mantis,2,stalker_mantis__s2,빛 유도,route_bridge,hybrid,brightness,temperature|smell,convert,1,4,3,1,,,next_unlock,bridge axis remains but side noise is pruned each stage,-1,-1,1,0,0,거친 다축형 / 다음 루트 연결축 준비
stalker_mantis,3,stalker_mantis__s3,매복 패턴 읽기 운용,mechanic_core,hybrid,sound,brightness,check,3,3,2,1,ambush_pattern,"[3, 1]",mechanic_counter,"same mechanic, stronger params, cleaner axis expression",0,1,0,0,-2,거친 다축형 / 매복 패턴 읽기 메커닉 반영
